N° Commande,Statut,Opérateur,Client,Téléphone,Adresse,Ville,Produit,Quantité,Prix,Date Création,Motifs,Modification
YCN-000154,Non affectée,Vente,Said Chafik,07-51-37-39-14,N/A,Tanger,CHAUSS FEM YZ 244 - 38/أحمر / rouge,1,249,2024-03-19 16:30:01,,
YCN-000155,Non affectée,,رضوان التازي,07-67-72-20-26,N/A,فاس,SDL HOM YZ740 - 42/marron / بني,1,345,2024-11-17 11:51:23,,
YCN-000156,Non affectée,Marketing,Souad Chafik,07-32-76-97-17,N/A,الراشيدية,ESP HOM YZ650 - 44/الرمادي / gris,1,299,2025-06-03 21:00:07,,
SHP-000157,Non affectée,,مليكة التازي,06-66-77-77-12,N/A,تطوان,ESP HOM YZ650 - 43/أسود أبيض / noir blanc,1,299,2023-04-26 11:56:44,,
YCN-000158,Non affectée,,Noureddine Alaoui,07-30-54-78-71,N/A,Fès,CHAUSS FEM YZ 244 - 39/أسود / noir,1,249,2023-02-10 08:32:19,,
YCN-000159,Non affectée,,Malika Bennani,07-54-22-80-74,5 Lot Ennakhil,Essaouira,CHAUSS FEM YZ 248 - 40/Bleu / bleu,1,259,2024-02-14 12:39:21,,
YCN-000160,Non affectée,,Khadija Benali,07-73-45-55-81,N/A,الرباط,ESP HOM YZ650 - 43/أسود أبيض / noir blanc,1,299,2025-04-23 22:28:59,,
YCN-000161,Non affectée,,محمد العلوي,07-64-45-54-36,Lotissement Chourouk,El Jadida,CHAUSS FEM YZ 248 - 40/Rouge / rouge,1,259,2023-10-29 10:23:29,,
YCN-000162,Doublon,,Driss Idrissi,06-14-18-54-86,33 Rue Omar Ibn Khattab,القنيطرة,CHAUSS FEM YZ 248 - 38/Bleu / bleu,1,259,2024-08-07 11:03:23,SHP-000084 (L170),
SHP-000163,Non affectée,,Ahmed Benali,06-33-63-38-39,N/A,Casablanca,ESP HOM YZ650 - 43/أسود أبيض / noir blanc,1,299,2023-10-11 10:58:15,,
YCN-000164,Doublon,,إبراهيم Bouziane,07-40-49-33-42,N/A,مراكش,SDL HOM YZ740 - 43/marron / بني,1,345,2025-05-24 18:10:12,SHP-000070 (L5),
SHP-000165,Doublon,,Aicha Bennani,07-52-98-16-68,21 Rue Moulay Ismail,بني ملال,CHAUSS HOM YZ 304 - 43/Noir / noir,1,279,2023-09-10 15:19:49,SHP-000084 (L132),
SHP-000166,Non affectée,,رضوان Ouardi,07-44-93-83-49,33 Rue Omar Ibn Khattab,Ouarzazate,ESP HOM YZ650 - 43/الرمادي / gris,1,299,2024-01-22 12:39:40,,
YCN-000167,Non affectée,,حميد العلوي,07-69-60-98-56,Lotissement Chourouk,تازة,CHAUSS HOM YZ 303 - 43/Noir / noir,1,289,2025-02-15 19:51:59,,
YCN-000168,Non affectée,,Fatima Benali,07-70-65-68-35,N/A,Settat,SDL HOM YZ740 - 42/noir / أسود,1,345,2023-08-19 12:23:50,,
YCN-000169,Non affectée,,Driss Tazi,06-87-51-62-14,N/A,Beni Mellal,CHAUSS HOM YZ 304 - 41/Noir / noir,1,279,2023-01-10 11:02:42,,
SHP-000170,Non affectée,,Mustapha Bennani,06-45-61-43-89,N/A,وجدة,CHAUSS HOM YZ 304 - 42/Marron / marron,1,279,2024-05-12 18:37:04,,
SHP-000171,Doublon,,Ismail El Fassi,06-98-88-97-78,N/A,Guercif,CHAUSS FEM YZ 249 - 38/Bleu / bleu,1,249,2023-10-10 20:13:40,YCN-000072 (L289),
YCN-000172,Non affectée,,حسن Skalli,07-74-46-28-37,N/A,بني ملال,CHAUSS FEM YZ 244 - 38/أسود / noir,1,249,2024-03-27 12:45:11,,
YCN-000173,Non affectée,Marketing,Aicha El Fassi,07-39-14-61-77,N/A,Larache,CHAUSS FEM YZ 248 - 38/Rouge / rouge,1,259,2025-04-29 11:27:00,,
YCN-000174,Doublon,Op1,Ikram El Fassi,07-78-94-93-24,N/A,Larache,CHAUSS HOM YZ 303 - 43/Marron / marron,1,289,2024-11-10 14:39:39,SHP-000004 (L335),
YCN-000175,Non affectée,,إبراهيم Skalli,06-24-65-49-19,N/A,Tanger,SDL HOM YZ740 - 44/marron / بني,1,345,2024-05-23 11:07:22,,
YCN-000176,Non affectée,,Souad Bennani,06-72-93-72-65,12 Rue Al Qods,تازة,CHAUSS HOM YZ 303 - 41/Noir / noir,1,289,2023-01-24 10:34:45,,
YCN-000177,Non affectée,Marketing,إبراهيم Abouali,07-62-14-91-92,N/A,الراشيدية,CHAUSS FEM YZ 247 - 40/Bleu / bleu,1,239,2024-07-14 21:39:52,,
YCN-000178,Non affectée,,Noureddine Tazi,06-40-31-25-95,"Rés. Al Amal 2, App 5",Tétouan,CHAUSS HOM YZ 304 - 42/Noir / noir,2,279,2023-03-12 09:43:19,,
YCN-000179,Erronée,,Said Bennani,06-16-36-66-95,N/A,Meknès,CHAUSS HOM YZ 304 - 44/Noir / noir,1,279,2024-12-22 08:26:21,Client non joignable,
YCN-000180,Non affectée,,ليلى Essabri,06-41-70-77-64,12 Rue Al Qods,Settat,CHAUSS FEM YZ 249 - 38/Rose / rose,1,249,2024-11-23 10:59:00,,
YCN-000181,Erronée,,Hassan Benali,07-59-43-84-47,N/A,آسفي,CHAUSS FEM YZ 248 - 37/Rouge / rouge,1,259,2025-04-15 12:33:24,Client non joignable,
YCN-000182,Non affectée,,Layla Idrissi,07-30-87-86-64,N/A,مكناس,CHAUSS FEM YZ 247 - 38/Noir / noir,1,239,2023-09-05 11:23:41,,
SHP-000183,Non affectée,,Fatima Bennani,07-33-94-36-34,N/A,مراكش,CHAUSS FEM YZ 247 - 37/Bleu / bleu,1,239,2023-04-27 21:01:26,,
SHP-000184,Non affectée,,إسماعيل Essabri,06-21-75-34-50,12 Rue Al Qods,Guercif,SDL HOM YZ740 - 41/noir / أسود,1,345,2024-01-04 20:21:29,,
SHP-000185,Non affectée,,نور الدين الشافعي,06-49-45-26-45,N/A,الجديدة,CHAUSS HOM YZ 304 - 43/Noir / noir,1,279,2023-12-13 22:48:23,,
YCN-000186,Doublon,Vente,مصطفى Abouali,07-23-29-57-65,N/A,Essaouira,CHAUSS HOM YZ 303 - 40/Noir / noir,1,289,2023-04-09 22:58:04,YCN-000094 (L251),
SHP-000187,Non affectée,,نور الدين العلوي,06-39-28-63-45,N/A,Tétouan,CHAUSS FEM YZ 248 - 41/Bleu / bleu,1,259,2025-01-17 13:32:04,,
YCN-000188,Non affectée,,Layla Idrissi,06-10-83-80-51,N/A,El Jadida,CHAUSS HOM YZ 303 - 43/Marron / marron,2,289,2024-10-11 08:04:53,,
YCN-000189,Non affectée,,هدى الفاسي,06-71-38-56-84,N/A,Tétouan,CHAUSS FEM YZ 248 - 38/Vert / vert,1,259,2023-07-03 08:44:30,,
YCN-000190,Doublon,,رجاء Zahidi,07-98-95-62-37,N/A,Taza,CHAUSS HOM YZ 303 - 43/Marron / marron,1,289,2023-01-28 10:44:04,YCN-000036 (L314),
SHP-000191,Non affectée,,خديجة Abouali,07-60-15-88-37,N/A,Ouarzazate,CHAUSS FEM YZ 244 - 40/أحمر / rouge,1,249,2024-05-14 16:35:59,,
SHP-000192,Erronée,,Said Benali,01-17-50-34-90,N/A,Kénitra,CHAUSS HOM YZ 303 - 43/Marron / marron,1,289,2023-12-07 10:18:49,Client non joignable,
YCN-000193,Non affectée,Marketing,Widad Idrissi,07-96-52-93-14,N/A,القنيطرة,CHAUSS FEM YZ 247 - 38/Noir / noir,1,239,2024-04-27 16:12:28,,
SHP-000194,Non affectée,,Noureddine Amrani,06-35-51-38-42,N/A,تطوان,CHAUSS FEM YZ 249 - 38/Rose / rose,1,249,2023-04-04 09:55:46,,
YCN-000195,Non affectée,,Fatima Idrissi,06-89-45-39-98,N/A,الرباط,CHAUSS FEM YZ 249 - 36/Bleu / bleu,1,249,2024-09-02 13:36:43,,
SHP-000196,Non affectée,,يوسف Zahidi,07-92-65-40-35,N/A,Essaouira,CHAUSS HOM YZ 304 - 43/Noir / noir,1,279,2025-05-21 11:59:52,,
YCN-000197,Non affectée,,Widad El Fassi,07-12-38-32-40,N/A,أگادير,CHAUSS HOM YZ 303 - 40/Noir / noir,1,289,2025-02-17 19:05:06,,
SHP-000198,Non affectée,,Hamid Chafik,06-97-31-63-44,N/A,Meknès,ESP HOM YZ650 - 41/أسود أبيض / noir blanc,1,299,2024-05-26 13:52:50,,
YCN-000199,Non affectée,,Hassan Chafik,07-82-54-14-49,N/A,القنيطرة,CHAUSS FEM YZ 247 - 38/Bleu / bleu,1,239,2023-12-21 10:36:50,,
YCN-000200,Non affectée,,سعاد الفاسي,07-15-52-53-66,N/A,تازة,CHAUSS FEM YZ 244 - 37/أحمر / rouge,1,249,2023-04-13 10:51:49,,
YCN-000201,Non affectée,,Malika Benali,06-88-63-48-70,N/A,مكناس,CHAUSS FEM YZ 244 - 39/أسود / noir,1,249,2025-02-10 12:31:03,,
YCN-000202,Non affectée,,Ismail Benali,07-11-79-34-79,N/A,الدار البيضاء,CHAUSS FEM YZ 247 - 38/Noir / noir,1,239,2024-12-25 12:59:14,,
SHP-000203,Non affectée,,سعيد Ouardi,07-54-40-82-58,N/A,Fès,ESP HOM YZ650 - 41/أسود أبيض / noir blanc,1,299,2024-04-02 17:56:44,,
YCN-000204,Non affectée,,Mohamed Idrissi,07-30-84-11-81,N/A,Taza,CHAUSS HOM YZ 303 - 44/Noir / noir,1,289,2024-09-28 08:45:30,,
YCN-000205,Non affectée,,سلمى الفاسي,07-67-92-79-76,5 Lot Ennakhil,مكناس,CHAUSS FEM YZ 247 - 40/Rouge / rouge,1,239,2024-12-16 09:55:17,,
SHP-000206,Non affectée,,Souad Idrissi,06-85-78-11-11,8 Rue Al Massira,وجدة,CHAUSS FEM YZ 248 - 38/Vert / vert,1,259,2024-07-18 08:42:32,,
SHP-000207,Non affectée,,Naima Tazi,07-84-61-14-19,N/A,تازة,CHAUSS FEM YZ 247 - 38/Noir / noir,1,239,2024-07-12 18:25:25,,
YCN-000208,Non affectée,,Youssef Tazi,06-81-98-65-80,N/A,Guercif,CHAUSS HOM YZ 304 - 41/Noir / noir,1,279,2024-08-31 20:45:07,,
SHP-000209,Non affectée,Op2,Lahcen Bennani,07-18-67-25-79,N/A,مراكش,CHAUSS FEM YZ 247 - 37/Bleu / bleu,1,239,2025-02-11 09:17:20,,
SHP-000210,Non affectée,,Malika Benali,06-47-48-30-14,N/A,طنجة,CHAUSS HOM YZ 303 - 44/Marron / marron,1,289,2023-09-23 08:33:59,,
SHP-000211,Non affectée,,Latifa Alaoui,07-11-72-58-90,N/A,بني ملال,CHAUSS HOM YZ 303 - 40/Marron / marron,1,289,2024-09-24 20:55:16,,
SHP-000212,Erronée,,عبد القادر Skalli,06-16-49-70-73,N/A,آسفي,CHAUSS FEM YZ 247 - 40/Noir / noir,1,239,2024-02-22 19:42:46,Client non joignable,
YCN-000213,Non affectée,,Zineb Amrani,07-98-34-40-53,N/A,وجدة,ESP HOM YZ650 - 41/أسود أبيض / noir blanc,1,299,2023-08-14 21:04:24,,
SHP-000214,Non affectée,,Said Chafik,07-87-48-37-52,7 Rue El Harouchi,أگادير,CHAUSS FEM YZ 247 - 39/Bleu / bleu,1,239,2023-02-09 17:34:28,,
SHP-000215,Non affectée,,ليلى الإدريسي,06-70-91-60-33,N/A,تازة,SDL HOM YZ740 - 44/marron / بني,1,345,2024-12-23 12:56:07,,
SHP-000216,Non affectée,,مليكة Touhami,06-36-28-39-91,N/A,Marrakech,ESP HOM YZ650 - 41/الأزرق / bleu,1,299,2023-08-25 11:19:24,,
YCN-000217,Erronée,,Driss Amrani,01-72-59-90-21,N/A,Beni Mellal,CHAUSS FEM YZ 249 - 40/Rose / rose,1,249,2023-11-14 21:08:09,Client non joignable,
YCN-000218,Doublon,,Widad Alaoui,07-27-46-53-24,21 Rue Moulay Ismail,Taza,CHAUSS FEM YZ 247 - 38/Noir / noir,1,239,2024-01-10 12:58:06,YCN-000038 (L364),
YCN-000219,Non affectée,Op1,Hamid Chafik,06-56-59-37-99,N/A,Safi,CHAUSS FEM YZ 249 - 37/Bleu / bleu,1,249,2023-12-06 20:31:28,,
YCN-000220,Non affectée,,Zineb Bennani,06-73-25-39-43,N/A,Agadir,CHAUSS FEM YZ 249 - 40/Rose / rose,1,249,2023-02-06 10:50:18,,
SHP-000221,Non affectée,,محمد Essabri,07-12-24-35-80,N/A,Tanger,CHAUSS FEM YZ 249 - 38/Rose / rose,1,249,2024-04-15 18:06:58,,
SHP-000222,Non affectée,,Ismail Tazi,06-78-83-68-11,N/A,Casablanca,CHAUSS FEM YZ 247 - 38/Bleu / bleu,1,239,2023-04-07 10:45:24,,
YCN-000223,Non affectée,,Lahcen El Fassi,06-12-42-70-71,N/A,Casablanca,CHAUSS FEM YZ 247 - 36/Noir / noir,1,239,2024-10-11 10:50:06,,
YCN-000224,Non affectée,,نور الدين Essabri,06-69-61-71-39,N/A,Essaouira,CHAUSS HOM YZ 303 - 44/Noir / noir,1,289,2025-05-01 19:24:09,,
YCN-000225,Non affectée,,Souad El Fassi,06-63-76-44-14,7 Rue El Harouchi,Marrakech,SDL HOM YZ740 - 45/marron / بني,1,345,2023-08-02 19:15:57,,
SHP-000226,Non affectée,,Lahcen Tazi,07-80-96-56-50,N/A,Tanger,CHAUSS FEM YZ 248 - 38/Vert / vert,1,259,2023-04-22 09:54:27,,
SHP-000227,Non affectée,,Malika Idrissi,06-91-17-11-74,N/A,طنجة,CHAUSS FEM YZ 247 - 38/Rouge / rouge,1,239,2024-01-04 15:59:25,,
YCN-000228,Non affectée,Marketing,خديجة الشافعي,07-25-50-26-10,N/A,بني ملال,SDL HOM YZ740 - 42/noir / أسود,1,345,2024-09-16 17:18:35,,
YCN-000229,Non affectée,,Ismail Bennani,07-45-36-22-29,N/A,Larache,CHAUSS FEM YZ 244 - 41/أسود / noir,1,249,2024-03-21 12:21:00,,
SHP-000230,Non affectée,,Mohamed Amrani,07-17-25-35-96,N/A,فاس,ESP HOM YZ650 - 41/أسود أبيض / noir blanc,1,299,2023-05-30 18:19:13,,
SHP-000231,Non affectée,,Ikram Chafik,06-87-66-78-67,Lotissement Chourouk,وجدة,CHAUSS FEM YZ 249 - 37/Rose / rose,1,249,2025-02-25 22:39:58,,
YCN-000232,Non affectée,,Naima Idrissi,07-36-89-10-16,N/A,Meknès,CHAUSS FEM YZ 249 - 36/Bleu / bleu,1,249,2023-07-26 20:01:02,,
SHP-000233,Non affectée,,نعيمة Skalli,06-61-19-93-98,N/A,بني ملال,SDL HOM YZ740 - 43/noir / أسود,1,345,2023-05-13 22:29:33,,
YCN-000234,Doublon,,فاطمة العلوي,06-81-36-54-50,N/A,الراشيدية,CHAUSS HOM YZ 303 - 40/Marron / marron,1,289,2023-08-12 21:06:31,YCN-000174 (L322),
YCN-000235,Non affectée,,نادية Skalli,07-73-92-68-38,N/A,Khouribga,CHAUSS FEM YZ 244 - 39/أزرق / bleu,1,249,2025-02-17 22:41:48,,
YCN-000236,Doublon,,Ikram Alaoui,07-85-25-89-25,33 Rue Omar Ibn Khattab,Kénitra,ESP HOM YZ650 - 43/الأزرق / bleu,1,299,2024-12-18 21:53:23,YCN-000142 (L20),
YCN-000237,Non affectée,,فاطمة بن علي,06-33-46-41-92,7 Rue El Harouchi,الراشيدية,CHAUSS FEM YZ 247 - 36/Rouge / rouge,1,239,2025-06-27 18:22:47,,
YCN-000238,Non affectée,,Latifa El Fassi,06-53-88-35-39,N/A,Khemisset,SDL HOM YZ740 - 45/marron / بني,1,345,2024-03-09 19:53:07,,
SHP-000239,Non affectée,Marketing,سلمى Lahlou,07-14-91-65-46,N/A,طنجة,CHAUSS HOM YZ 303 - 42/Noir / noir,1,289,2024-07-25 08:15:31,,
YCN-000240,Non affectée,,Said Amrani,07-41-53-60-62,33 Rue Omar Ibn Khattab,أگادير,SDL HOM YZ740 - 44/marron / بني,1,345,2023-09-10 13:49:39,,
SHP-000241,Non affectée,Op1,إبراهيم Essabri,06-43-65-34-22,N/A,Essaouira,CHAUSS FEM YZ 247 - 38/Bleu / bleu,1,239,2023-10-26 08:43:12,,
YCN-000242,Non affectée,,Malika El Fassi,06-88-79-85-54,Lotissement Chourouk,Khouribga,CHAUSS FEM YZ 249 - 40/Bleu / bleu,1,249,2024-04-17 14:17:19,,
YCN-000243,Non affectée,,Naima Chafik,07-14-15-74-45,N/A,فاس,CHAUSS FEM YZ 247 - 36/Bleu / bleu,1,239,2024-12-01 19:26:42,,
SHP-000244,Non affectée,,Omar Idrissi,07-27-21-76-22,N/A,Taza,CHAUSS FEM YZ 244 - 40/أزرق / bleu,1,249,2025-06-30 14:10:04,,
SHP-000245,Non affectée,,Souad Idrissi,07-24-60-56-77,N/A,Tanger,CHAUSS HOM YZ 303 - 40/Marron / marron,1,289,2025-01-27 08:44:10,,
YCN-000246,Non affectée,,نعيمة Essabri,06-59-19-75-56,21 Rue Moulay Ismail,Larache,CHAUSS HOM YZ 303 - 42/Marron / marron,1,289,2024-06-08 13:14:33,,
YCN-000247,Erronée,,Nadia Amrani,07-13-31-32-29,7 Rue El Harouchi,Agadir,CHAUSS HOM YZ 303 - 44/Noir / noir,1,289,2023-04-11 10:13:59,Informations manquantes,
YCN-000248,Non affectée,Op1,سعاد بن علي,06-72-60-19-40,N/A,وجدة,CHAUSS HOM YZ 303 - 44/Marron / marron,1,289,2024-09-15 19:11:00,,
YCN-000249,Non affectée,,Rajae Amrani,07-42-40-70-28,N/A,تازة,CHAUSS HOM YZ 303 - 43/Marron / marron,1,289,2023-11-27 08:16:40,,
YCN-000250,Non affectée,,عمر بن علي,06-64-20-34-20,N/A,El Jadida,ESP HOM YZ650 - 40/أسود أبيض / noir blanc,1,299,2024-03-05 08:25:14,,
SHP-000251,Non affectée,,Hassan Alaoui,07-46-47-94-53,Lotissement Chourouk,بني ملال,CHAUSS FEM YZ 244 - 38/أزرق / bleu,1,249,2024-10-20 20:37:32,,
YCN-000252,Non affectée,,عائشة بن علي,06-58-75-46-95,N/A,Rabat,CHAUSS FEM YZ 247 - 40/Noir / noir,1,239,2024-01-01 19:48:08,,
YCN-000253,Non affectée,,Redouane Amrani,06-23-45-86-57,N/A,القنيطرة,SDL HOM YZ740 - 42/noir / أسود,1,345,2024-10-09 19:13:59,,
SHP-000254,Non affectée,,Nadia Benali,06-44-68-69-79,N/A,Kénitra,SDL HOM YZ740 - 41/marron / بني,1,345,2023-04-10 17:18:02,,
YCN-000255,Non affectée,,إكرام Zahidi,07-88-66-74-39,Lotissement Chourouk,Agadir,CHAUSS FEM YZ 244 - 38/أحمر / rouge,1,249,2024-02-23 22:26:40,,
SHP-000256,Non affectée,,وداد العلوي,06-39-42-51-29,N/A,Meknès,ESP HOM YZ650 - 41/الأزرق / bleu,1,299,2023-06-05 16:15:04,,
SHP-000257,Non affectée,Marketing,Brahim Amrani,07-94-77-82-11,N/A,Marrakech,CHAUSS FEM YZ 244 - 39/أزرق / bleu,1,249,2023-06-03 21:05:03,,
YCN-000258,Erronée,,Salma Bennani,06-82-40-72-91,N/A,Khemisset,CHAUSS HOM YZ 304 - 44/Noir / noir,1,279,2025-06-12 13:45:49,Numéro de téléphone invalide,
SHP-000259,Non affectée,,Khadija El Fassi,06-44-92-80-22,33 Rue Omar Ibn Khattab,Kénitra,SDL HOM YZ740 - 44/noir / أسود,1,345,2023-03-26 08:21:17,,
YCN-000260,Non affectée,,Noureddine Amrani,06-17-30-77-49,N/A,Safi,CHAUSS FEM YZ 244 - 39/أزرق / bleu,1,249,2024-09-17 21:56:43,,
YCN-000261,Non affectée,,إكرام Skalli,06-28-15-32-70,12 Rue Al Qods,فاس,CHAUSS FEM YZ 244 - 37/أحمر / rouge,1,249,2023-06-21 14:24:37,,
YCN-000262,Non affectée,,Ahmed Chafik,07-19-78-28-68,N/A,تطوان,CHAUSS HOM YZ 303 - 43/Marron / marron,1,289,2024-02-23 12:40:57,,
YCN-000263,Non affectée,,أحمد Zahidi,07-35-24-53-81,N/A,Khouribga,ESP HOM YZ650 - 44/الرمادي / gris,1,299,2025-01-13 19:25:55,,
SHP-000264,Non affectée,,إدريس Zahidi,06-25-31-63-37,8 Rue Al Massira,آسفي,CHAUSS HOM YZ 304 - 41/Marron / marron,1,279,2024-04-08 17:46:59,,
YCN-000265,Doublon,,Lahcen Amrani,07-36-47-72-17,N/A,Taza,CHAUSS FEM YZ 248 - 37/Rouge / rouge,1,259,2023-03-16 17:24:12,YCN-000174 (L350),
YCN-000266,Non affectée,,فاطمة الفاسي,06-31-99-98-67,33 Rue Omar Ibn Khattab,Khemisset,CHAUSS FEM YZ 244 - 40/أزرق / bleu,1,249,2025-06-11 22:43:30,,
SHP-000267,Non affectée,Op3,محمد التازي,07-35-41-60-91,N/A,فاس,CHAUSS HOM YZ 304 - 41/Marron / marron,1,279,2023-10-17 19:29:15,,
YCN-000268,Non affectée,,Mustapha El Fassi,07-58-52-52-46,12 Rue Al Qods,Tanger,SDL HOM YZ740 - 45/marron / بني,1,345,2023-09-11 11:42:41,,
YCN-000269,Non affectée,,Fatima Alaoui,07-92-11-47-55,8 Rue Al Massira,Meknès,CHAUSS FEM YZ 244 - 38/أزرق / bleu,1,249,2024-02-22 22:20:12,,
YCN-000270,Non affectée,,رجاء الشافعي,07-59-45-56-41,N/A,Oujda,SDL HOM YZ740 - 43/marron / بني,3,345,2025-05-12 20:13:39,,
YCN-000271,Non affectée,,Naima Bennani,06-87-32-89-87,8 Rue Al Massira,Kénitra,CHAUSS FEM YZ 247 - 40/Bleu / bleu,1,239,2025-02-23 20:28:00,,
YCN-000272,Non affectée,Op3,Widad Bennani,06-49-64-14-53,N/A,Tanger,CHAUSS FEM YZ 244 - 37/أحمر / rouge,1,249,2024-01-27 21:16:30,,
YCN-000273,Non affectée,,Karim Bennani,06-26-39-36-79,N/A,مراكش,CHAUSS FEM YZ 249 - 39/Rose / rose,1,249,2025-07-05 18:08:26,,
YCN-000274,Non affectée,,Samira Alaoui,06-77-42-18-40,N/A,Rabat,CHAUSS FEM YZ 248 - 40/Bleu / bleu,1,259,2024-12-31 17:14:10,,
SHP-000275,Doublon,,Rajae Bennani,06-21-69-76-39,N/A,Settat,CHAUSS HOM YZ 303 - 43/Marron / marron,1,289,2023-04-11 09:25:39,YCN-000058 (L371),
YCN-000276,Doublon,,نعيمة الفاسي,06-22-62-38-92,N/A,الجديدة,CHAUSS FEM YZ 248 - 41/Rouge / rouge,1,259,2024-07-18 14:37:45,YCN-000218 (L283),
YCN-000277,Non affectée,,Zineb Bennani,06-97-58-69-22,N/A,Errachidia,CHAUSS FEM YZ 247 - 38/Rouge / rouge,1,239,2024-04-07 16:30:37,,
YCN-000278,Non affectée,,Houda Alaoui,07-61-80-22-59,N/A,Larache,CHAUSS HOM YZ 303 - 41/Marron / marron,1,289,2025-02-23 19:11:09,,
YCN-000279,Erronée,,Youssef Idrissi,01-79-22-45-82,N/A,الجديدة,CHAUSS FEM YZ 244 - 37/أحمر / rouge,1,249,2024-09-08 14:36:45,Adresse incomplète,
YCN-000280,Non affectée,,Ahmed Tazi,07-54-29-64-57,N/A,القنيطرة,CHAUSS FEM YZ 249 - 40/Rose / rose,1,249,2024-10-12 17:21:18,,
SHP-000281,Non affectée,,Mohamed Bennani,06-25-99-10-40,N/A,الجديدة,CHAUSS FEM YZ 247 - 39/Rouge / rouge,1,239,2025-06-08 18:40:15,,
YCN-000282,Non affectée,,Khadija Tazi,07-61-99-56-79,N/A,Larache,CHAUSS FEM YZ 247 - 37/Bleu / bleu,1,239,2023-06-20 18:57:29,,
YCN-000283,Non affectée,,سعيد الإدريسي,07-31-58-39-22,N/A,تازة,ESP HOM YZ650 - 40/الرمادي / gris,1,299,2023-08-13 08:12:16,,
YCN-000284,Non affectée,,عائشة Touhami,06-26-60-48-29,N/A,وجدة,CHAUSS FEM YZ 247 - 38/Rouge / rouge,1,239,2023-08-14 09:26:58,,
YCN-000285,Erronée,,Said Benali,01-77-49-57-39,N/A,مراكش,CHAUSS FEM YZ 249 - 38/Bleu / bleu,1,249,2023-06-06 19:42:46,Adresse incomplète,
YCN-000286,Doublon,Marketing,عبد القادر Touhami,07-40-17-26-48,15 Bd Hassan II,Oujda,CHAUSS FEM YZ 244 - 41/أزرق / bleu,1,249,2024-08-24 13:17:56,YCN-000178 (L211),
YCN-000287,Non affectée,,خديجة التازي,06-24-36-68-96,N/A,El Jadida,CHAUSS HOM YZ 303 - 42/Marron / marron,1,289,2025-04-05 13:09:17,,
YCN-000288,Non affectée,,Widad Amrani,06-12-33-46-49,N/A,الراشيدية,ESP HOM YZ650 - 40/الأزرق / bleu,1,299,2024-05-09 20:43:39,,
SHP-000289,Non affectée,,Naima Alaoui,06-82-35-77-99,N/A,Beni Mellal,CHAUSS FEM YZ 248 - 40/Bleu / bleu,1,259,2024-05-28 15:37:08,,
SHP-000290,Non affectée,,وداد الشافعي,07-59-21-26-80,8 Rue Al Massira,Taza,CHAUSS HOM YZ 304 - 41/Marron / marron,1,279,2024-02-20 11:28:40,,
YCN-000291,Non affectée,,سعيد Abouali,06-53-10-63-99,N/A,Safi,CHAUSS FEM YZ 248 - 39/Rouge / rouge,1,259,2025-01-19 12:44:14,,
YCN-000292,Doublon,,نادية Ouardi,07-20-81-72-90,N/A,Agadir,CHAUSS HOM YZ 304 - 43/Noir / noir,1,279,2023-05-12 14:12:27,YCN-000202 (L67),
YCN-000293,Non affectée,,Abdelkader Amrani,07-26-17-65-86,N/A,Oujda,CHAUSS HOM YZ 304 - 43/Noir / noir,1,279,2024-08-31 17:10:03,,
SHP-000294,Non affectée,,وداد Zahidi,07-21-98-48-98,N/A,Essaouira,CHAUSS HOM YZ 303 - 42/Marron / marron,1,289,2023-05-09 18:38:11,,
YCN-000295,Non affectée,,Samira Chafik,06-46-98-45-21,15 Bd Hassan II,تطوان,CHAUSS HOM YZ 304 - 44/Marron / marron,1,279,2023-06-09 08:25:03,,
SHP-000296,Doublon,Op2,إبراهيم بن علي,06-33-59-48-92,N/A,El Jadida,CHAUSS HOM YZ 303 - 43/Marron / marron,1,289,2023-06-20 13:34:13,YCN-000195 (L267),
YCN-000297,Doublon,,Salma Benali,07-48-45-92-95,N/A,Essaouira,CHAUSS FEM YZ 248 - 41/Bleu / bleu,1,259,2023-08-11 08:15:00,YCN-000186 (L107),
YCN-000298,Non affectée,,إكرام العمراني,07-11-28-68-81,N/A,وجدة,ESP HOM YZ650 - 40/الأزرق / bleu,1,299,2024-05-04 14:09:41,,
YCN-000299,Non affectée,,نور الدين بناني,06-16-88-31-89,N/A,الراشيدية,CHAUSS FEM YZ 244 - 39/أسود / noir,1,249,2024-09-06 18:18:41,,
SHP-000300,Non affectée,,Rajae Tazi,06-72-13-22-59,N/A,Khemisset,ESP HOM YZ650 - 41/أسود أبيض / noir blanc,1,299,2023-04-05 09:46:04,,
YCN-000301,Non affectée,,فاطمة بناني,07-72-76-92-18,N/A,وجدة,CHAUSS FEM YZ 247 - 40/Noir / noir,1,239,2024-04-24 21:30:35,,
SHP-000302,Non affectée,,Ikram El Fassi,06-27-24-21-80,N/A,طنجة,CHAUSS FEM YZ 249 - 38/Rose / rose,1,249,2024-02-13 22:56:12,,
YCN-000303,Non affectée,,Lahcen Bennani,07-89-79-98-88,7 Rue El Harouchi,طنجة,CHAUSS FEM YZ 248 - 41/Rouge / rouge,1,259,2023-10-09 14:32:36,,
SHP-000304,Non affectée,,كريم بناني,06-29-32-14-70,N/A,Settat,CHAUSS FEM YZ 247 - 38/Rouge / rouge,1,239,2023-02-07 19:47:05,,
YCN-000305,Erronée,,Mustapha Chafik,06-59-39-31-67,N/A,الجديدة,CHAUSS HOM YZ 303 - 44/Marron / marron,1,289,2025-03-31 17:48:06,Numéro de téléphone invalide,
